Is Online,Deal ID,Username,Symbol,Long/Short,Buy Amount,Buy Currency,Sell Amount,Sell Currency,Open Date,Open Rate,Open Reason,Close Rate,Close Date,Close Reason,PaL (ABC),PaL Pips,SL Rate,SL Amount,TP Rate,TP Amount,Open Freeze Status,FREEZE_CLOSE,Business Unit,User Group,Volume,Volume (ABC),ABC,Account ID,User Group Type,User Type,Margin Amount (PBC),Margin Amount (BC),Margin Amount (ABC),SL Amount (NBC),SL Amount (ABC),PaL,Desk,Rolling Commission (ABC),Rolling Commission,Handling Commission,Handling Commission (ABC),Order Rate,Eligibility Status,Is Eligible,Affiliate Name,STP Provider,Retention Manager,Tags,TradingSystem,Ext Deal ID,Post Balance (ABC),Deal Duration(Hours),,,
NO,3218384, alexpro,AUDUSD,Short,39172.5,USD,50000,AUD,03/26/2015 14:54:28 GMT,0.78345,Opened By User,0.7804,03/27/2015 07:02:53 GMT,Closed By User,152.5,30.5,,0,,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),39180,39180,USD, 920486,Standard,Trader,185.73,250,185.73,,,152.5,Anton MacCane,1.96,1.96,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,11311.93,16.14,,,,
NO,3216383, alexpro,EURGBP,Short,36867,GBP,50000,EUR,03/26/2015 10:44:51 GMT,0.73734,Opened By User,0.734,03/26/2015 17:09:56 GMT,TP Reached,248.1,33.4,0.743,0,0.734,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),55075,55075,USD, 920486,Standard,Trader,275.56,250,275.56,,,248.1,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,10939.05,6.42,,,,
NO,3218695, alexpro,GBPJPY,Long,50000,GBP,8839750,JPY,03/26/2015 15:48:57 GMT,176.795,Opened By User,177.572,03/27/2015 10:45:06 GMT,Closed By User,325.5,77.7,175.91,0,177.678,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),74257.5,74257.5,USD, 920486,Standard,Trader,355.94,250,355.94,,,325.5,Anton MacCane,3.71,3.71,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,19755.98,18.94,,,,
NO,3219772, alexpro,GBPCAD,Long,50000,GBP,92620.5,CAD,03/26/2015 20:19:10 GMT,1.85241,Opened By User,1.85395,03/26/2015 21:57:15 GMT,Closed By User,61.67,15.4,,0,,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),74245,74245,USD, 920486,Standard,Trader,355.94,250,355.94,,,61.67,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,11000.72,1.63,,,,
NO,3213718, alexpro,EURJPY,Long,50000,EUR,6550750,JPY,03/25/2015 22:30:30 GMT,131.015,Opened By User,130.658,03/26/2015 04:25:05 GMT,SL Amount Reached,-150,-35.7,,150,131.385,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),54817.5,54817.5,USD, 920486,Standard,Trader,275.56,250,275.56,,150,-150,Anton MacCane,2.74,2.74,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,10508.51,5.91,,,,
NO,3207428, alexpro,GBPUSD,Long,50000,GBP,74900,USD,03/24/2015 12:46:28 GMT,1.498,Limit Captured,1.494,03/24/2015 12:52:55 GMT,SL Reached,-200,-40,1.494,0,1.52,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),74890,74890,USD, 920486,Standard,Trader,355.94,250,355.94,,,-200,Anton MacCane,,,0,0,1.498,Eligible, MED_FXP,,Alexander Galich,,PX,,7183.46,0.11,,,,
NO,3209320, alexpro,GBPUSD,Long,100000,GBP,148525,USD,03/24/2015 19:04:36 GMT,1.48525,Opened By User,1.49145,03/25/2015 12:20:50 GMT,Closed By User,620,62,,0,,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),148505,148505,USD, 920486,Standard,Trader,711.88,500,711.88,,,620,Anton MacCane,7.42,7.42,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,7851.97,17.27,,,,
NO,3206178, alexpro,EURGBP,Long,50000,EUR,36750,GBP,03/24/2015 09:53:55 GMT,0.735,Limit Captured,0.73748,03/26/2015 10:23:17 GMT,Closed By User,185.31,24.8,0.73,0,0.74,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),54795,54795,USD, 920486,Standard,Trader,275.56,250,275.56,,,185.31,Anton MacCane,5.47,5.47,0,0,0.735,Eligible, MED_FXP,,Alexander Galich,,PX,,10274.65,48.49,,,,
NO,3214313, alexpro,USDCAD,Short,62410,CAD,50000,USD,03/26/2015 06:02:09 GMT,1.2482,Limit Captured,1.2412,03/26/2015 12:24:04 GMT,TP Reached,282.03,70,1.254,0,1.2412,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),50000,50000,USD, 920486,Standard,Trader,250,250,250,,,282.03,Anton MacCane,,,0,0,1.2482,Eligible, MED_FXP,,Alexander Galich,,PX,,10556.68,6.37,,,,
NO,3178468, alexpro,GBPUSD,Short,14787,USD,10000,GBP,03/16/2015 08:50:35 GMT,1.4787,Opened By User,1.4798,03/16/2015 09:00:01 GMT,SL Amount Reached,-11,-11,,11,,11,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),14789,14789,USD, 920486,Standard,Trader,71.19,50,71.19,,11,-11,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,466.75,0.16,,,,
NO,3178511, alexpro,GBPUSD,Short,14793,USD,10000,GBP,03/16/2015 09:03:11 GMT,1.4793,Opened By User,1.4806,03/16/2015 13:07:32 GMT,SL Amount Reached,-13,-13,,13,1.476,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),14795,14795,USD, 920486,Standard,Trader,71.19,50,71.19,,13,-13,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,431.75,4.07,,,,
NO,3178454, alexpro,EURUSD,Short,10534.5,USD,10000,EUR,03/16/2015 08:45:07 GMT,1.05345,Opened By User,1.05445,03/16/2015 10:06:49 GMT,SL Amount Reached,-10,-10,,10,,12,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),10536,10536,USD, 920486,Standard,Trader,55.11,50,55.11,,10,-10,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,456.75,1.36,,,,
NO,3738551, alexpro,USDJPY,Long,1000000,USD,120011000,JPY,09/23/2015 06:45:21 GMT,120.011,Opened By User,120.019,09/23/2015 06:50:54 GMT,Closed By User,66.65,0.8,,0,,400,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,66.65,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,179660.84,0.09,,,,
