Deal [id=3138525, userName= alexpro, direction=Short, asset=EURGBP, volume=16801.5, pNl=null, openDate=Tue Mar 03 07:27:03 IST 2015, closeDate=Tue Mar 03 18:17:26 IST 2015, lockedVolume=0.0]
Deal [id=3140976, userName= alexpro, direction=Long, asset=EURGBP, volume=11200.0, pNl=null, openDate=Tue Mar 03 17:27:10 IST 2015, closeDate=Tue Mar 03 18:17:18 IST 2015, lockedVolume=0.0]
Deal [id=3145362, userName= alexpro, direction=Long, asset=EURUSD, volume=11070.0, pNl=null, openDate=Wed Mar 04 18:27:28 IST 2015, closeDate=Wed Mar 04 19:02:58 IST 2015, lockedVolume=0.0]
Deal [id=3165770, userName= alexpro, direction=Short, asset=EURJPY, volume=10581.5, pNl=null, openDate=Wed Mar 11 13:21:42 IST 2015, closeDate=Wed Mar 11 13:25:49 IST 2015, lockedVolume=0.0]
Deal [id=3165781, userName= alexpro, direction=Short, asset=GBPJPY, volume=15015.5, pNl=null, openDate=Wed Mar 11 13:24:19 IST 2015, closeDate=Wed Mar 11 13:48:41 IST 2015, lockedVolume=0.0]
Deal [id=3165860, userName= alexpro, direction=Short, asset=EURUSD, volume=10584.0, pNl=null, openDate=Wed Mar 11 13:33:08 IST 2015, closeDate=Wed Mar 11 14:37:38 IST 2015, lockedVolume=0.0]
Deal [id=3166182, userName= alexpro, direction=Long, asset=EURJPY, volume=10587.0, pNl=null, openDate=Wed Mar 11 14:23:16 IST 2015, closeDate=Wed Mar 11 14:31:50 IST 2015, lockedVolume=0.0]
Deal [id=3166299, userName= alexpro, direction=Short, asset=EURJPY, volume=10569.5, pNl=null, openDate=Wed Mar 11 14:39:01 IST 2015, closeDate=Wed Mar 11 14:50:40 IST 2015, lockedVolume=0.0]
Deal [id=3166388, userName= alexpro, direction=Long, asset=EURUSD, volume=10574.5, pNl=null, openDate=Wed Mar 11 14:51:06 IST 2015, closeDate=Wed Mar 11 15:28:19 IST 2015, lockedVolume=0.0]
Deal [id=3166411, userName= alexpro, direction=Long, asset=EURUSD, volume=10574.0, pNl=null, openDate=Wed Mar 11 14:56:59 IST 2015, closeDate=Wed Mar 11 15:28:19 IST 2015, lockedVolume=0.0]
Deal [id=3166647, userName= alexpro, direction=Short, asset=EURJPY, volume=10591.0, pNl=null, openDate=Wed Mar 11 15:32:02 IST 2015, closeDate=Wed Mar 11 16:08:22 IST 2015, lockedVolume=0.0]
Deal [id=3166660, userName= alexpro, direction=Short, asset=EURJPY, volume=10599.0, pNl=null, openDate=Wed Mar 11 15:34:32 IST 2015, closeDate=Wed Mar 11 15:54:45 IST 2015, lockedVolume=0.0]
Deal [id=3166792, userName= alexpro, direction=Long, asset=EURUSD, volume=10573.5, pNl=null, openDate=Wed Mar 11 16:02:16 IST 2015, closeDate=Wed Mar 11 16:13:13 IST 2015, lockedVolume=0.0]
Deal [id=3166843, userName= alexpro, direction=Long, asset=EURUSD, volume=10585.0, pNl=null, openDate=Wed Mar 11 16:16:39 IST 2015, closeDate=Wed Mar 11 17:43:57 IST 2015, lockedVolume=0.0]
Deal [id=3166868, userName= alexpro, direction=Long, asset=AUDUSD, volume=7587.0, pNl=null, openDate=Wed Mar 11 16:25:52 IST 2015, closeDate=Wed Mar 11 20:27:16 IST 2015, lockedVolume=0.0]
Deal [id=3166888, userName= alexpro, direction=Long, asset=EURUSD, volume=10580.0, pNl=null, openDate=Wed Mar 11 16:34:24 IST 2015, closeDate=Wed Mar 11 17:04:12 IST 2015, lockedVolume=0.0]
Deal [id=3166991, userName= alexpro, direction=Long, asset=EURUSD, volume=10560.5, pNl=null, openDate=Wed Mar 11 17:19:41 IST 2015, closeDate=Thu Mar 12 07:09:06 IST 2015, lockedVolume=0.0]
Deal [id=3167943, userName= alexpro, direction=Long, asset=NZDUSD, volume=7294.3, pNl=null, openDate=Wed Mar 11 20:51:51 IST 2015, closeDate=Wed Mar 11 22:52:46 IST 2015, lockedVolume=0.0]
Deal [id=3168548, userName= alexpro, direction=Long, asset=EURUSD, volume=10512.5, pNl=null, openDate=Thu Mar 12 05:05:22 IST 2015, closeDate=Thu Mar 12 05:48:58 IST 2015, lockedVolume=0.0]
Deal [id=3168715, userName= alexpro, direction=Long, asset=EURAUD, volume=10538.0, pNl=null, openDate=Thu Mar 12 06:14:19 IST 2015, closeDate=Thu Mar 12 07:55:01 IST 2015, lockedVolume=0.0]
Deal [id=3169643, userName= alexpro, direction=Short, asset=GBPNZD, volume=14986.5, pNl=null, openDate=Thu Mar 12 08:29:11 IST 2015, closeDate=Thu Mar 12 10:12:44 IST 2015, lockedVolume=0.0]
Deal [id=3169848, userName= alexpro, direction=Short, asset=NZDUSD, volume=7387.8, pNl=null, openDate=Thu Mar 12 08:58:02 IST 2015, closeDate=Thu Mar 12 10:50:26 IST 2015, lockedVolume=0.0]
Deal [id=3171762, userName= alexpro, direction=Short, asset=EURUSD, volume=10624.5, pNl=null, openDate=Thu Mar 12 14:37:50 IST 2015, closeDate=Thu Mar 12 14:56:47 IST 2015, lockedVolume=0.0]
Deal [id=3172191, userName= alexpro, direction=Short, asset=EURUSD, volume=10615.5, pNl=null, openDate=Thu Mar 12 16:13:46 IST 2015, closeDate=Thu Mar 12 16:35:27 IST 2015, lockedVolume=0.0]
Deal [id=3172316, userName= alexpro, direction=Long, asset=EURUSD, volume=15894.0, pNl=null, openDate=Thu Mar 12 16:42:28 IST 2015, closeDate=Thu Mar 12 16:58:50 IST 2015, lockedVolume=0.0]
Deal [id=3172344, userName= alexpro, direction=Long, asset=EURUSD, volume=10596.5, pNl=null, openDate=Thu Mar 12 16:46:21 IST 2015, closeDate=Thu Mar 12 18:18:26 IST 2015, lockedVolume=0.0]
Deal [id=3172571, userName= alexpro, direction=Long, asset=EURJPY, volume=10610.5, pNl=null, openDate=Thu Mar 12 17:49:23 IST 2015, closeDate=Thu Mar 12 20:11:07 IST 2015, lockedVolume=0.0]
Deal [id=3172667, userName= alexpro, direction=Short, asset=GBPJPY, volume=14864.0, pNl=null, openDate=Thu Mar 12 18:26:37 IST 2015, closeDate=Thu Mar 12 19:34:19 IST 2015, lockedVolume=0.0]
Deal [id=3172692, userName= alexpro, direction=Long, asset=EURUSD, volume=10614.5, pNl=null, openDate=Thu Mar 12 18:36:21 IST 2015, closeDate=Thu Mar 12 18:59:55 IST 2015, lockedVolume=0.0]
Deal [id=3172762, userName= alexpro, direction=Short, asset=GBPJPY, volume=22284.75, pNl=null, openDate=Thu Mar 12 19:05:13 IST 2015, closeDate=Thu Mar 12 19:33:17 IST 2015, lockedVolume=0.0]
Deal [id=3174802, userName= alexpro, direction=Short, asset=USDJPY, volume=10000.0, pNl=null, openDate=Fri Mar 13 00:15:25 IST 2015, closeDate=Fri Mar 13 00:36:09 IST 2015, lockedVolume=0.0]
Deal [id=3175146, userName= alexpro, direction=Short, asset=EURUSD, volume=10592.5, pNl=null, openDate=Fri Mar 13 00:39:12 IST 2015, closeDate=Fri Mar 13 00:48:54 IST 2015, lockedVolume=0.0]
Deal [id=3173793, userName= alexpro, direction=Short, asset=EURUSD, volume=10626.0, pNl=null, openDate=Fri Mar 13 08:15:51 IST 2015, closeDate=Fri Mar 13 08:27:54 IST 2015, lockedVolume=0.0]
Deal [id=3173811, userName= alexpro, direction=Short, asset=GBPUSD, volume=14876.0, pNl=null, openDate=Fri Mar 13 08:22:57 IST 2015, closeDate=Fri Mar 13 09:27:07 IST 2015, lockedVolume=0.0]
Deal [id=3174097, userName= alexpro, direction=Long, asset=EURUSD, volume=10598.0, pNl=null, openDate=Fri Mar 13 09:28:05 IST 2015, closeDate=Fri Mar 13 10:23:30 IST 2015, lockedVolume=0.0]
